text,label,,
"""A 6.2 magnitude earthquake struck central Japan on Monday, causing damage to roads and several buildings but no major casualties have been reported."", Real",Real,,
"""The Philippine Coast Guard reported a near collision with a foreign vessel inside the West Philippine Sea, prompting a diplomatic protest from Manila""., Real",Real,,
"""Indonesia’s Mount Merapi released a new pyroclastic flow early Friday, forcing evacuations in nearby villages."", Real",Real,,
"""The European Union approved a new climate agreement aimed at reducing emissions by 55 percent before 2035."", Real",Real,,
"""The Department of Health confirmed a rise in influenza cases nationwide as colder weather conditions persist."", Real",Real,,
"""India successfully launched its latest weather satellite designed to improve cyclone forecasting in the region."", Real",Real,,
"""A powerful winter storm disrupted more than 2,500 flights across the United States on Tuesday, affecting travelers nationwide."", Real",Real,,
"""China announced new trade measures focused on stabilizing supply chains and attracting foreign investments."", Real",Real,,
"""Rescue teams in Nepal recovered additional bodies following a landslide triggered by heavy monsoon rains."", Real",Real,,
"""Germany’s parliament passed a bill expanding renewable energy projects to accelerate the country’s green transition."", Real",Real,,
"""Local authorities in Baguio City have begun water rationing measures after reservoir levels fell due to prolonged dry spells."", Real",Real,,
"""South Korea reported record-low unemployment rates as its technology sector continues strong post-pandemic recovery."", Real",Real,,
"""A massive wildfire in northern Greece forced thousands to evacuate as firefighters battled strong winds."", Real",Real,,
"""The World Bank approved new funding to support rural agricultural development projects in Southeast Asia."", Real",Real,,
"""Scientists in Brazil discovered a new species of freshwater fish in the Amazon River basin."", Real",Real,,
"""The United Kingdom recorded its warmest February in the past century according to its national weather agency."", Real",Real,,
"""The Philippine National Police arrested three suspects linked to a major cyber fraud operation targeting local businesses."", Real",Real,,
"""Health authorities in Thailand issued an advisory after dengue cases rose sharply across several provinces."", Real",Real,,
"""The United Nations renewed calls for peaceful dialogue amid growing tensions between Sudanese military factions."", Real",Real,,
"""Local farmers in Ilocos Norte reported crop damage following a sudden hailstorm that hit several municipalities."", Real",Real,,
"""The Bank of Japan maintained its interest rates despite rising inflation concerns across the region."", Real",Real,,
"""Rescue operations continue in Mexico after a bus accident left at least 18 people dead and several others injured."", Real",Real,,
"""The Department of Education announced a nationwide school safety audit following recent infrastructure concerns."", Real",Real,,
"""A rare astronomical event will be visible this week as a comet passes near Earth for the first time in 70 years."", Real",Real,,
"""The US Senate approved new funding for AI research and cybersecurity development."", Real",Real,,
"""Vietnam recorded its highest rice export numbers in more than a decade, driven by increased global demand."", Real",Real,,
"""A major oil spill in Nigeria’s delta region prompted environmental groups to call for urgent cleanup efforts."", Real",Real,,
"""New Zealand’s parliament debated updates to its immigration policy to address skill shortages."", Real",Real,,
"""Manila’s MRT Line 3 experienced delays after a technical malfunction affected two northbound trains during rush hour."", Real",Real,,
"""Manila’s MRT Line 3 experienced delays after a technical malfunction affected two northbound trains during rush hour."", Real",Real,,
"""A nationwide power interruption affected parts of Luzon after a major transmission line tripped unexpectedly."", Real",Real,,
"""Malaysia expanded its renewable energy incentives to attract more foreign companies to invest in solar infrastructure."", Real",Real,,
"""A cargo ship ran aground near the coast of Turkey, prompting officials to begin emergency salvage operations."", Real",Real,,
"""The Department of Agriculture warned of possible onion supply shortages after unexpected crop losses in Central Luzon."", Real",Real,,
"""The Australian government confirmed new funding to support communities affected by recent flooding."", Real",Real,,
"""A commuter ferry in Indonesia caught fire mid-voyage, but all passengers were safely rescued by nearby vessels."", Real",Real,,
"""Economists predict slower global economic growth this quarter due to rising geopolitical tensions."", Real",Real,,
"""Saudi Arabia announced a new tourism program aimed at increasing international visitors by 30 percent."", Real",Real,,
"""The Philippine Air Force completed a joint exercise with US forces to enhance disaster-response capabilities."", Real",Real,,
"""A Japanese startup successfully tested a prototype electric aircraft designed for short-distance travel."", Real",Real,,
"""Flooding in northern India displaced thousands after several rivers overflowed following days of heavy rain."", Real",Real,,
